Id;EntityCreatedAt;EntityModifiedAt;ActionTaskID;Status;Year;Month;Day;DateTime;AreaName;UpdateTime;ActualGenerationOutput;ActualConsuption;AreaTypeCodeId;AreaCodeId;ResolutionCodeId;MapCodeId;ProductionTypeId;RowHash
831926806;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;2;2018-01-02T11:00:00.000Z;Greece;2018-02-01T17:08:33.000Z;897;0;3;56280;2;23;12;92A14223-5250C86A-20BC43C9-5B7C0575-E29C7812-285207CD-A1E5F8AF-227DE60A-F53A1A50-572E90DE-8EA101AA-6E38B3FD-36E05ABB-3BA21144-9FDA5C11-5FE89A6B
831926810;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;2;2018-01-02T10:00:00.000Z;Greece;2018-01-02T13:49:08.000Z;1745;0;3;56280;2;23;7;E17D23EE-738139F8-66B45FD6-9C70C628-CC18245E-E48A26B0-685647D0-EAD1821B-829D9DB9-DDC8081D-66C36CFD-B4E34E97-1B57F068-51D4845D-917E40F4-1C226A2B
831926809;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;2;2018-01-02T11:00:00.000Z;Greece;2018-02-01T17:09:01.000Z;1201;0;3;56280;2;23;17;38F54E4D-4301D52C-B293DEEC-6F41FA08-0B9A5F87-E506235C-7562C16B-8312EA62-9A987928-FD107DA8-3ACA3B17-772155B4-CEA4AB89-41836205-15A5E658-E64CBE5F
831924925;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;8;2018-01-08T13:00:00.000Z;Greece;2018-01-08T16:48:23.000Z;2254;0;3;56280;2;23;7;BF3A25C4-F4CC1A8A-BF98A2DF-36FAFD1E-3A8459CA-FD15E12A-A354C217-2F86D379-C5E74D4C-4D91C9DE-71DC7BD6-44A4E665-89C4DC57-F0F60C93-9E792159-40400505
831924892;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;8;2018-01-08T14:00:00.000Z;Greece;2018-02-01T17:11:52.000Z;88;0;3;56280;2;23;17;257FA136-6EA42C53-80A58130-1110D372-BB08B2B6-9F43F0AE-19FFA751-C528710A-E6A0C996-05DFF8CC-621DC52A-A384616D-608423EA-5B9DF4C1-092DF3B8-101BEC9D
831924890;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;8;2018-01-08T13:00:00.000Z;Greece;2018-01-08T16:48:22.000Z;2586;0;3;56280;2;23;1;5E87693C-4258CA26-0EB5B14D-ACA785BD-AD650305-8FD00E0C-570CE08F-65DB7645-9AF89F8A-E3D513EA-655D3F97-50F5B719-7FB7AD94-787D5208-1E012124-29EC86D6
831924888;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;8;2018-01-08T13:00:00.000Z;Greece;2018-01-08T16:48:22.000Z;0;0;3;56280;2;23;8;24067606-90C3ABE8-05B69620-E4A5B073-44D7BCBA-48DA7329-5F27F337-9AD7141D-3470872F-0FCB38DD-B549D28E-8E558DAF-B2C79E66-A0390B84-2F7DCE63-A5485CE9
831924887;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;8;2018-01-08T14:00:00.000Z;Greece;2018-01-08T16:48:22.000Z;177;0;3;56280;2;23;12;339C9E7D-CB228DAE-74E743F9-EAA18E7D-C06B2DA4-C8FAA0B0-DB82B326-45A68B09-19CF9A7B-17EF4161-33244698-B8A0A802-FFF12847-0D0F2BB4-C85EA758-F339429F
831872193;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;7;2018-01-07T23:00:00.000Z;Greece;2018-01-08T02:48:57.000Z;2130;0;3;56280;2;23;7;FFCBF7EC-830D710A-15BD7E5A-D32C075F-E9E0548D-780464B0-E4B60F4B-D8A848DF-46E9D4E7-9A7F02BD-399B1C2C-AE53C61B-CC2E251B-21ED04E1-577C0F37-F509AA3D
831872192;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;7;2018-01-07T23:00:00.000Z;Greece;2018-01-08T02:48:57.000Z;0;0;3;56280;2;23;8;0A2D6AE2-92748803-60D22324-16F0C08F-56362DF6-085A9C86-C2EA5A9F-36292862-6E11FD7D-F1449AE8-B2C432CA-549DC7BA-BDCAEDA4-568255EA-15214C9C-9B73F53D
831872189;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;7;2018-01-07T23:00:00.000Z;Greece;2018-01-08T02:48:57.000Z;1144;0;3;56280;2;23;1;197C3404-6834815A-252E31A6-34E495A9-74F853ED-34740630-30B6BFA7-0863C51F-98F41F4E-8FFD9C43-002F713B-EC07612B-46078A16-5F33B8EA-2003BC85-122F9D34
831872109;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;8;2018-01-08T00:00:00.000Z;Greece;2018-01-08T02:48:50.000Z;146;0;3;56280;2;23;12;293381D4-B357B7C2-331214A6-14643D72-9D9C5D68-DBEAD0DD-8FAF4625-FBA9C371-B701811C-7F72BD99-B98974E9-58659489-601C2578-AAF9A689-A505190A-EC8D1848
831872101;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;8;2018-01-08T00:00:00.000Z;Greece;2018-01-08T02:48:48.000Z;0;0;3;56280;2;23;17;7E1E368A-DED61EE1-A94536E9-A4E239A3-EF304962-00BEB6AB-B0ABF23F-228FF0E0-4A00833E-7897AB46-44F20CF2-BDAD18F7-98442508-342D52AD-4D17DA23-7B81BC2E
831871124;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T19:00:00.000Z;Greece;2018-01-01T22:48:42.000Z;1717;0;3;56280;2;23;7;4A789393-1707EA8F-8D12A3B5-4618632B-CA6B635B-2A365509-6EAB9149-B97ABDCC-0C4DC91C-1B9C52DE-BB7CFA13-923C5B9F-1CA47048-ED678CC2-9475F7D4-55450223
831871123;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T20:00:00.000Z;Greece;2018-02-01T17:08:16.000Z;816;0;3;56280;2;23;12;9B61C80E-3163E33B-8D65399D-26D3B127-5489B690-CEC8E79A-9EA273BB-61EC3BC6-2F8E9D26-8FCA8949-E0D4C500-DEEDDD05-97E565F7-C059E996-7CE518FC-784D64BB
831871118;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T19:00:00.000Z;Greece;2018-01-01T22:48:42.000Z;0;0;3;56280;2;23;8;E33E2F4F-B03A6019-AB9C07D4-948BB895-64A44F7A-68F443EA-778B1092-677842B4-673043DE-BBBD335B-4BEEC42D-C752ACAF-4A3E7CBD-12D7AF7C-BB96C270-97FEA2D2
831871120;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T20:00:00.000Z;Greece;2018-01-01T22:48:42.000Z;0;0;3;56280;2;23;17;7DAC54D7-4A3C4FF9-37EBA8AF-CCEC1D73-A7DE60AE-C68350B9-A94DF562-B2C9BA75-F4EE2910-61E943C6-57324C16-73B6561C-4711F060-26339E55-DE258BC1-738D020C
831871117;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;1;2018-01-01T19:00:00.000Z;Greece;2018-01-01T22:48:42.000Z;1720;0;3;56280;2;23;1;D24A27D2-5DA079EB-1E711B28-A3285177-0FDE683D-56531E17-FD23DCA8-4CB52E07-E2250545-72FF4686-DFB00ADB-FFC18D2F-410BE79C-17B757B7-A25F452F-15BE5578
831867523;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;7;2018-01-07T22:00:00.000Z;Greece;2018-01-08T01:49:06.000Z;1536;0;3;56280;2;23;1;8194AAF8-BF6FCC4B-53527F3D-03909178-0EFF5BD3-30573730-A165E424-667C55FC-28E6AC94-2EAA8946-543F0D14-A8EBD93B-2241B3C1-E40E984E-F982CF35-B88E6C00
831867520;2019-10-03T17:53:39.776Z;2019-10-03T17:53:39.776Z;324285;;2018;1;7;2018-01-07T22:00:00.000Z;Greece;2018-01-08T01:49:05.000Z;0;0;3;56280;2;23;8;2F6CECED-933CD6A0-DBFAE466-C11D7EEB-6D1DA684-FBFD19DB-169694FE-760ABBCE-AC7B5011-35E0A61B-1533F923-D4BA8707-7AA713AB-69D6CBEA-AC4E3005-79C644F8
